X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area,month_num,day_num,same_condition_count,daily_total_area,ignition_type,distance_to_center,is_periphery,human_access_zone,dynamic_seasonal_hotspot_distance,day_type_Saturday,day_type_Sunday,day_type_Weekday,is_peak_season,month_sin,month_cos,day_sin,day_cos,moderate_wind_danger,has_rain,hot_and_dry,double_drought,ISI_x_DC,rain_evaporation_risk,area_log,daily_total_area_log,risk_class
6,4,mar,wed,89.2,27.9,70.8,6.3,15.9,35,4.0,0.0,0.0,3,3,1,0.0,0,2.0,0,0,1.0,0,0,1,1,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,1,0,0,0,446.03999999999996,0,0.0,0.0,0
6,4,apr,sat,86.3,27.4,97.1,5.1,9.3,44,4.5,0.0,0.0,4,6,1,0.0,0,2.0,0,0,1.0,1,0,0,0,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,1,0,0,0,495.2099999999999,0,0.0,0.0,0
6,4,sep,tue,91.0,129.5,692.6,7.0,18.3,40,2.7,0.0,0.0,9,2,1,0.0,0,2.0,0,0,2.8284271247461903,0,0,1,1,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,0,0,0,1,4848.2,0,0.0,0.0,0
5,4,sep,mon,91.8,78.5,724.3,9.2,19.1,38,2.7,0.0,0.0,9,1,1,0.0,0,1.0,0,0,3.605551275463989,0,0,1,1,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,0,0,0,1,6663.5599999999995,0,0.0,0.0,0
7,4,jun,sun,94.3,96.3,200.0,56.1,21.0,44,4.5,0.0,0.0,6,7,1,0.0,0,3.0,0,0,2.23606797749979,0,1,0,0,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,1,0,0,0,11220.0,0,0.0,0.0,0
7,4,aug,sat,90.2,110.9,537.4,6.2,19.5,43,5.8,0.0,0.0,8,6,1,0.0,0,3.0,0,0,2.23606797749979,1,0,0,1,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,1,0,0,1,3331.88,0,0.0,0.0,0
7,4,aug,sat,93.5,139.4,594.2,20.3,23.7,32,5.8,0.0,0.0,8,6,1,0.0,0,3.0,0,0,2.23606797749979,1,0,0,1,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,1,0,1,1,12062.260000000002,0,0.0,0.0,0
7,4,aug,sun,91.4,142.4,601.4,10.6,16.3,60,5.4,0.0,0.0,8,7,1,0.0,0,3.0,0,0,2.23606797749979,0,1,0,1,-0.8660254037844385,-0.5000000000000004,-2.4492935982947064e-16,1.0,1,0,0,1,6374.839999999999,0,0.0,0.0,0
7,4,sep,fri,92.4,117.9,668.0,12.2,19.0,34,5.8,0.0,0.0,9,5,2,1.69,1,3.0,0,0,2.23606797749979,0,0,1,1,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,1,0,0,1,8149.599999999999,0,0.0,0.9895411936137477,0
7,4,sep,mon,90.9,126.5,686.5,7.0,19.4,48,1.3,0.0,0.0,9,1,1,0.0,0,3.0,0,0,2.23606797749979,0,0,1,1,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,0,0,0,1,4805.5,0,0.0,0.0,0
6,3,sep,sat,93.4,145.4,721.4,8.1,30.2,24,2.7,0.0,0.0,9,6,1,0.0,0,2.23606797749979,0,0,3.605551275463989,1,0,0,1,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,0,0,1,1,5843.339999999999,0,0.0,0.0,0
6,3,sep,sun,93.5,149.3,728.6,8.1,22.8,39,3.6,0.0,0.0,9,7,1,0.0,0,2.23606797749979,0,0,3.605551275463989,0,1,0,1,-1.0,-1.8369701987210297e-16,-2.4492935982947064e-16,1.0,1,0,1,1,5901.66,0,0.0,0.0,0
6,3,sep,fri,94.3,85.1,692.3,15.9,25.4,24,3.6,0.0,0.0,9,5,1,0.0,0,2.23606797749979,0,0,3.605551275463989,0,0,1,1,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,1,0,1,1,11007.57,0,0.0,0.0,0
6,3,sep,mon,88.6,91.8,709.9,7.1,11.2,78,7.6,0.0,0.0,9,1,1,0.0,0,2.23606797749979,0,0,3.605551275463989,0,0,1,1,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,0,0,0,1,5040.29,0,0.0,0.0,0
6,3,sep,fri,88.6,69.7,706.8,5.8,20.6,37,1.8,0.0,0.0,9,5,1,0.0,0,2.23606797749979,0,0,3.605551275463989,0,0,1,1,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,0,0,1,1,4099.44,0,0.0,0.0,0
6,3,sep,sun,91.7,75.6,718.3,7.8,17.7,39,3.6,0.0,0.0,9,7,1,0.0,0,2.23606797749979,0,0,3.605551275463989,0,1,0,1,-1.0,-1.8369701987210297e-16,-2.4492935982947064e-16,1.0,1,0,0,1,5602.74,0,0.0,0.0,0
6,3,sep,mon,91.8,78.5,724.3,9.2,21.2,32,2.7,0.0,0.0,9,1,1,0.0,0,2.23606797749979,0,0,3.605551275463989,0,0,1,1,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,0,0,1,1,6663.5599999999995,0,0.0,0.0,0
6,3,sep,tue,90.3,80.7,730.2,6.3,18.2,62,4.5,0.0,0.0,9,2,1,0.0,0,2.23606797749979,0,0,3.605551275463989,0,0,1,1,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,1,0,0,1,4600.26,0,0.0,0.0,0
6,3,oct,tue,90.6,35.4,669.1,6.7,21.7,24,4.5,0.0,0.0,10,2,1,0.0,0,2.23606797749979,0,0,2.0,0,0,1,0,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,1,0,1,1,4482.97,0,0.0,0.0,0
7,4,oct,fri,90.0,41.5,682.6,8.7,11.3,60,5.4,0.0,0.0,10,5,1,0.0,0,3.0,0,0,1.4142135623730951,0,0,1,0,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,1,0,0,1,5938.62,0,0.0,0.0,0
7,3,oct,sat,90.6,43.7,686.9,6.7,17.8,27,4.0,0.0,0.0,10,6,1,0.0,0,3.1622776601683795,0,0,2.23606797749979,1,0,0,0,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,1,0,0,1,4602.23,0,0.0,0.0,0
4,4,mar,tue,88.1,25.7,67.6,3.8,14.1,43,2.7,0.0,0.0,3,2,1,0.0,0,0.0,0,0,2.23606797749979,0,0,1,1,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0,0,0,0,256.87999999999994,0,0.0,0.0,0
4,4,jul,tue,79.5,60.6,366.7,1.5,23.3,37,3.1,0.0,0.0,7,2,1,0.0,0,0.0,0,0,4.47213595499958,0,0,1,0,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,0,0,1,0,550.05,0,0.0,0.0,0
4,4,aug,sat,90.2,96.9,624.2,8.9,18.4,42,6.7,0.0,0.0,8,6,1,0.0,0,0.0,0,0,4.47213595499958,1,0,0,1,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,0,0,0,1,5555.380000000001,0,0.0,0.0,0
4,4,aug,tue,94.8,108.3,647.1,17.0,16.6,54,5.4,0.0,0.0,8,2,1,0.0,0,0.0,0,0,4.47213595499958,0,0,1,1,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,1,0,0,1,11000.7,0,0.0,0.0,0
4,4,sep,sat,92.5,88.0,698.6,7.1,19.6,48,2.7,0.0,0.0,9,6,1,0.0,0,0.0,0,0,4.47213595499958,1,0,0,1,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,0,0,0,1,4960.0599999999995,0,0.0,0.0,0
4,4,sep,wed,90.1,82.9,735.7,6.2,12.9,74,4.9,0.0,0.0,9,3,1,0.0,0,0.0,0,0,4.47213595499958,0,0,1,1,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,1,0,0,1,4561.34,0,0.0,0.0,0
5,6,sep,wed,94.3,85.1,692.3,15.9,25.9,24,4.0,0.0,0.0,9,3,1,0.0,0,2.23606797749979,0,0,3.0,0,0,1,1,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,1,0,1,1,11007.57,0,0.0,0.0,0
5,6,sep,mon,90.9,126.5,686.5,7.0,14.7,70,3.6,0.0,0.0,9,1,1,0.0,0,2.23606797749979,0,0,3.0,0,0,1,1,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,1,0,0,1,4805.5,0,0.0,0.0,0
6,6,jul,mon,94.2,62.3,442.9,11.0,23.0,36,3.1,0.0,0.0,7,1,1,0.0,0,2.8284271247461903,0,0,2.0,0,0,1,0,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,0,0,1,0,4871.9,0,0.0,0.0,0
4,4,mar,mon,87.2,23.9,64.7,4.1,11.8,35,1.8,0.0,0.0,3,1,1,0.0,0,0.0,0,0,2.23606797749979,0,0,1,1,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0,0,0,0,265.27,0,0.0,0.0,0
4,4,mar,mon,87.6,52.2,103.8,5.0,11.0,46,5.8,0.0,0.0,3,1,3,64.2,2,0.0,0,0,2.23606797749979,0,0,1,1,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,1,0,0,0,519.0,0,0.0,4.177459468932607,0
4,4,sep,thu,92.9,137.0,706.4,9.2,20.8,17,1.3,0.0,0.0,9,4,1,0.0,0,0.0,0,0,4.47213595499958,0,0,1,1,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,0,0,1,1,6498.879999999999,0,0.0,0.0,0
4,3,aug,sun,90.2,99.6,631.2,6.3,21.5,34,2.2,0.0,0.0,8,7,1,0.0,0,1.0,0,0,5.0,0,1,0,1,-0.8660254037844385,-0.5000000000000004,-2.4492935982947064e-16,1.0,0,0,1,1,3976.5600000000004,0,0.0,0.0,0
4,3,aug,wed,92.1,111.2,654.1,9.6,20.4,42,4.9,0.0,0.0,8,3,2,0.0,1,1.0,0,0,5.0,0,0,1,1,-0.8660254037844385,-0.5000000000000004,0.43388373911755823,-0.900968867902419,1,0,0,1,6279.36,0,0.0,0.0,0
4,3,aug,wed,92.1,111.2,654.1,9.6,20.4,42,4.9,0.0,0.0,8,3,2,0.0,1,1.0,0,0,5.0,0,0,1,1,-0.8660254037844385,-0.5000000000000004,0.43388373911755823,-0.900968867902419,1,0,0,1,6279.36,0,0.0,0.0,0
4,3,aug,thu,91.7,114.3,661.3,6.3,17.6,45,3.6,0.0,0.0,8,4,1,0.0,0,1.0,0,0,5.0,0,0,1,1,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,1,0,0,1,4166.19,0,0.0,0.0,0
4,3,sep,thu,92.9,137.0,706.4,9.2,27.7,24,2.2,0.0,0.0,9,4,1,0.0,0,1.0,0,0,5.0,0,0,1,1,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,0,0,1,1,6498.879999999999,0,0.0,0.0,0
4,3,sep,tue,90.3,80.7,730.2,6.3,17.8,63,4.9,0.0,0.0,9,2,1,0.0,0,1.0,0,0,5.0,0,0,1,1,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,1,0,0,1,4600.26,0,0.0,0.0,0
4,3,oct,sun,92.6,46.5,691.8,8.8,13.8,50,2.7,0.0,0.0,10,7,1,0.0,0,1.0,0,0,2.8284271247461903,0,1,0,0,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,0,0,0,1,6087.84,0,0.0,0.0,0
2,2,feb,mon,84.0,9.3,34.0,2.1,13.9,40,5.4,0.0,0.0,2,1,1,0.0,0,2.8284271247461903,0,0,5.0,0,0,1,0,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,1,0,0,0,71.4,0,0.0,0.0,0
2,2,feb,fri,86.6,13.2,43.0,5.3,12.3,51,0.9,0.0,0.0,2,5,1,0.0,0,2.8284271247461903,0,0,5.0,0,0,1,0,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,0,0,0,0,227.9,0,0.0,0.0,0
2,2,mar,sun,89.3,51.3,102.2,9.6,11.5,39,5.8,0.0,0.0,3,7,2,7.19,2,2.8284271247461903,0,0,5.0,0,1,0,1,1.0,6.123233995736766e-17,-2.4492935982947064e-16,1.0,1,0,0,0,981.12,0,0.0,2.1029138978649784,0
2,2,mar,sun,89.3,51.3,102.2,9.6,5.5,59,6.3,0.0,0.0,3,7,1,0.0,0,2.8284271247461903,0,0,5.0,0,1,0,1,1.0,6.123233995736766e-17,-2.4492935982947064e-16,1.0,0,0,0,0,981.12,0,0.0,0.0,0
2,2,aug,thu,93.0,75.3,466.6,7.7,18.8,35,4.9,0.0,0.0,8,4,1,0.0,0,2.8284271247461903,0,0,7.211102550927978,0,0,1,1,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,1,0,0,0,3592.82,0,0.0,0.0,0
2,2,aug,sun,90.2,99.6,631.2,6.3,20.8,33,2.7,0.0,0.0,8,7,1,0.0,0,2.8284271247461903,0,0,7.211102550927978,0,1,0,1,-0.8660254037844385,-0.5000000000000004,-2.4492935982947064e-16,1.0,0,0,1,1,3976.5600000000004,0,0.0,0.0,0
2,2,aug,mon,91.1,103.2,638.8,5.8,23.1,31,3.1,0.0,0.0,8,1,1,0.0,0,2.8284271247461903,0,0,7.211102550927978,0,0,1,1,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336,0,0,1,1,3705.0399999999995,0,0.0,0.0,0
2,2,aug,thu,91.7,114.3,661.3,6.3,18.6,44,4.5,0.0,0.0,8,4,1,0.0,0,2.8284271247461903,0,0,7.211102550927978,0,0,1,1,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,1,0,0,1,4166.19,0,0.0,0.0,0
2,2,sep,fri,92.4,117.9,668.0,12.2,23.0,37,4.5,0.0,0.0,9,5,1,0.0,0,2.8284271247461903,0,0,7.211102550927978,0,0,1,1,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,1,0,1,1,8149.599999999999,0,0.0,0.0,0
2,2,sep,fri,92.4,117.9,668.0,12.2,19.6,33,5.4,0.0,0.0,9,5,1,0.0,0,2.8284271247461903,0,0,7.211102550927978,0,0,1,1,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,1,0,0,1,8149.599999999999,0,0.0,0.0,0
2,2,sep,fri,92.4,117.9,668.0,12.2,19.6,33,6.3,0.0,0.0,9,5,2,19.23,2,2.8284271247461903,0,0,7.211102550927978,0,0,1,1,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,0,0,0,1,8149.599999999999,0,0.0,3.007166651179654,0
4,5,mar,fri,91.7,33.3,77.5,9.0,17.2,26,4.5,0.0,0.0,3,5,1,0.0,0,1.0,0,0,2.0,0,0,1,1,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,1,0,0,0,697.5,0,0.0,0.0,0
4,5,mar,fri,91.2,48.3,97.8,12.5,15.8,27,7.6,0.0,0.0,3,5,1,0.0,0,1.0,0,0,2.0,0,0,1,1,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0,0,0,0,1222.5,0,0.0,0.0,0
4,5,sep,fri,94.3,85.1,692.3,15.9,17.7,37,3.6,0.0,0.0,9,5,1,0.0,0,1.0,0,0,4.123105625617661,0,0,1,1,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,1,0,0,1,11007.57,0,0.0,0.0,0
5,4,mar,fri,91.7,33.3,77.5,9.0,15.6,25,6.3,0.0,0.0,3,5,1,0.0,0,1.0,0,0,1.4142135623730951,0,0,1,1,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0,0,0,0,697.5,0,0.0,0.0,0
5,4,aug,tue,88.8,147.3,614.5,9.0,17.3,43,4.5,0.0,0.0,8,2,1,0.0,0,1.0,0,0,3.605551275463989,0,0,1,1,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,1,0,0,1,5530.5,0,0.0,0.0,0
5,4,sep,fri,93.3,141.2,713.9,13.9,27.6,30,1.3,0.0,0.0,9,5,1,0.0,0,1.0,0,0,3.605551275463989,0,0,1,1,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,0,0,1,1,9923.21,0,0.0,0.0,0
9,9,feb,thu,84.2,6.8,26.6,7.7,6.7,79,3.1,0.0,0.0,2,4,1,0.0,0,7.0710678118654755,1,0,5.0,0,0,1,0,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0,0,0,0,204.82000000000002,0,0.0,0.0,0
9,9,feb,fri,86.6,13.2,43.0,5.3,15.7,43,3.1,0.0,0.0,2,5,1,0.0,0,7.0710678118654755,1,0,5.0,0,0,1,0,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,0,0,0,0,227.9,0,0.0,0.0,0
1,3,mar,mon,87.6,52.2,103.8,5.0,8.3,72,3.1,0.0,0.0,3,1,1,0.0,0,3.1622776601683795,1,0,5.385164807134504,0,0,1,1,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0,0,0,0,519.0,0,0.0,0.0,0
1,2,aug,fri,90.1,108.0,529.8,12.5,14.7,66,2.7,0.0,0.0,8,5,1,0.0,0,3.605551275463989,1,0,8.06225774829855,0,0,1,1,-0.8660254037844385,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,0,0,0,1,6622.499999999999,0,0.0,0.0,0
1,2,aug,tue,91.0,121.2,561.6,7.0,21.6,19,6.7,0.0,0.0,8,2,1,0.0,0,3.605551275463989,1,0,8.06225774829855,0,0,1,1,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,0,0,1,1,3931.2000000000003,0,0.0,0.0,0
1,2,aug,sun,91.4,142.4,601.4,10.6,19.5,39,6.3,0.0,0.0,8,7,1,0.0,0,3.605551275463989,1,0,8.06225774829855,0,1,0,1,-0.8660254037844385,-0.5000000000000004,-2.4492935982947064e-16,1.0,0,0,0,1,6374.839999999999,0,0.0,0.0,0
1,2,aug,sun,90.2,99.6,631.2,6.3,17.9,44,2.2,0.0,0.0,8,7,1,0.0,0,3.605551275463989,1,0,8.06225774829855,0,1,0,1,-0.8660254037844385,-0.5000000000000004,-2.4492935982947064e-16,1.0,0,0,0,1,3976.5600000000004,0,0.0,0.0,0
1,2,aug,tue,94.8,108.3,647.1,17.0,18.6,51,4.5,0.0,0.0,8,2,1,0.0,0,3.605551275463989,1,0,8.06225774829855,0,0,1,1,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,1,0,0,1,11000.7,0,0.0,0.0,0
1,2,aug,wed,92.1,111.2,654.1,9.6,16.6,47,0.9,0.0,0.0,8,3,2,2.29,2,3.605551275463989,1,0,8.06225774829855,0,0,1,1,-0.8660254037844385,-0.5000000000000004,0.43388373911755823,-0.900968867902419,0,0,0,1,6279.36,0,0.0,1.1908875647772805,0
1,2,aug,thu,91.7,114.3,661.3,6.3,20.2,45,3.6,0.0,0.0,8,4,1,0.0,0,3.605551275463989,1,0,8.06225774829855,0,0,1,1,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,1,0,0,1,4166.19,0,0.0,0.0,0
1,2,sep,thu,92.9,137.0,706.4,9.2,21.5,15,0.9,0.0,0.0,9,4,2,11.06,2,3.605551275463989,1,0,8.06225774829855,0,0,1,1,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,0,0,1,1,6498.879999999999,0,0.0,2.4898941912990393,0
1,2,sep,thu,92.9,137.0,706.4,9.2,25.4,27,2.2,0.0,0.0,9,4,1,0.0,0,3.605551275463989,1,0,8.06225774829855,0,0,1,1,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,0,0,1,1,6498.879999999999,0,0.0,0.0,0
1,2,sep,thu,92.9,137.0,706.4,9.2,22.4,34,2.2,0.0,0.0,9,4,1,0.0,0,3.605551275463989,1,0,8.06225774829855,0,0,1,1,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,0,0,1,1,6498.879999999999,0,0.0,0.0,0
1,2,sep,sun,93.5,149.3,728.6,8.1,25.3,36,3.6,0.0,0.0,9,7,1,0.0,0,3.605551275463989,1,0,8.06225774829855,0,1,0,1,-1.0,-1.8369701987210297e-16,-2.4492935982947064e-16,1.0,1,0,1,1,5901.66,0,0.0,0.0,0
6,5,mar,sat,91.7,35.8,80.8,7.8,17.4,25,4.9,0.0,0.0,3,6,1,0.0,0,2.23606797749979,0,0,0.0,1,0,0,1,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,1,0,0,0,630.24,0,0.0,0.0,0
6,5,aug,sat,90.2,96.9,624.2,8.9,14.7,59,5.8,0.0,0.0,8,6,1,0.0,0,2.23606797749979,0,0,2.23606797749979,1,0,0,1,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,1,0,0,1,5555.380000000001,0,0.0,0.0,0
8,6,mar,fri,91.7,35.8,80.8,7.8,17.4,24,5.4,0.0,0.0,3,5,1,0.0,0,4.47213595499958,0,1,2.23606797749979,0,0,1,1,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,1,0,0,0,630.24,0,0.0,0.0,0
8,6,aug,sun,92.3,85.3,488.0,14.7,20.8,32,6.3,0.0,0.0,8,7,1,0.0,0,4.47213595499958,0,1,0.0,0,1,0,1,-0.8660254037844385,-0.5000000000000004,-2.4492935982947064e-16,1.0,0,0,1,0,7173.599999999999,0,0.0,0.0,0
